Crossover, Dimensionality, Population size, Success, Median num evaluations
OnePointCrossover,10,80,True,228.0
UniformCrossover,10,80,True,245.0
OnePointCrossover,20,100,True,632.0
UniformCrossover,20,200,True,1082.0
UniformCrossover,40,None,False,None
OnePointCrossover,40,1190,True,14028.0
UniformCrossover,80,None,False,None
OnePointCrossover,80,6120,True,131307.5
UniformCrossover,160,None,False,None
