Crossover, Dimensionality, Population size, Success, Median num evaluations
OnePointCrossover,6,40,True,30.5
UniformCrossover,6,20,True,34.5
OnePointCrossover,12,220,True,886.0
UniformCrossover,12,80,True,391.0
UniformCrossover,25,1000,True,10680.5
OnePointCrossover,25,5150,True,41688.0
OnePointCrossover,50,None,False,None
