Crossover, Dimensionality, Population size, Success, Median num evaluations
OnePointCrossover,9,60,True,142.0
UniformCrossover,9,20,True,70.0
OnePointCrossover,16,220,True,1085.5
UniformCrossover,16,130,True,750.5
OnePointCrossover,25,440,True,3938.5
UniformCrossover,25,620,True,5441.0
OnePointCrossover,49,1410,True,23498.5
UniformCrossover,49,5150,True,90833.5
UniformCrossover,100,None,False,None
